code,neuromusc,cvd,respiratory,renal,gi,hemato_immu,metabolic,congeni_genetic,malignancy,neonatal,tech_dep,transplant,ccc_flag
00163JB,1,0,0,0,0,0,0,0,0,0,1,0,1
00163K1,1,0,0,0,0,0,0,0,0,0,1,0,1
00164JB,0,0,0,0,0,0,0,0,0,0,0,0,0
00164K7,0,0,0,0,0,0,0,0,0,0,0,0,0
00164KA,0,0,0,0,0,0,0,0,0,0,0,0,0
00164ZB,0,0,0,0,0,0,0,0,0,0,0,0,0
001U074,1,0,0,0,0,0,0,0,0,0,0,0,1
001U0K4,1,0,0,0,0,0,0,0,0,0,1,0,1
001U4J4,0,0,0,0,0,0,0,0,0,0,0,0,0
001U4J6,0,0,0,0,0,0,0,0,0,0,0,0,0
00503Z3,0,0,0,0,0,0,0,0,0,0,0,0,0
00520ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00570ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00583ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005G0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005H4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005J4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005L3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005P0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005Q3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005Q4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005R3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005R4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005W0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005X4Z3,0,0,0,0,0,0,0,0,0,0,0,0,0
005Y0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00763ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00800ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00870ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00880ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008F3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008G3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008G4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008H3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008K0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008P4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008Q0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008X3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008X4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00903ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00910ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009140Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009530Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00953ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009600Z,1,0,0,0,0,0,0,0,0,0,1,0,1
009640Z,1,0,0,0,0,0,0,0,0,0,1,0,1
009740Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00984ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00984ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00994ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
009A00Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009A0ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009A4ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009A4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
009F00Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009F30Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009F3ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009G3ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009H4ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009J00Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009K40Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009K4ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009K4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
009L30Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009L4ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009L4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
009P0ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009Q3ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009Q3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
009R4ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009S0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
009S40Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009S4ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009S4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
009T40Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009W40Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009Y0ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009Y0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00B03ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00B10ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00B64ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00B70ZZ,1,0,0,0,0,0,0,0,0,0,0,0,1
00B73ZZ,1,0,0,0,0,0,0,0,0,0,0,0,1
00B80ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00B84ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BA0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00BB0ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BB3ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BD4ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BG3ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BJ3ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BK3ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BL4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00BM0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00BN0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00BN3ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BQ0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00BR0ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BR3ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BS3ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BX0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00BY0ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BY4ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00C03ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00C10ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00C23ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
